length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
190213,0.738,0.332,0.804,0.0,0.279,0.949,-3.851,0.0621,174.943
281560,0.781,0.474,0.445,0.0,0.184,0.591,-6.061,0.0295,78.998
200786,0.665,0.0767,0.759,0.0,0.313,0.389,-3.694,0.0399,99.992
215226,0.735,0.025,0.766,0.00138,0.108,0.6,-4.485,0.0383,127.985
202496,0.494,0.000569,0.951,0.0,0.327,0.441,-4.237,0.132,160.025
184732,0.753,0.171,0.657,0.0,0.112,0.437,-3.061,0.0449,107.01
210626,0.747,0.135,0.716,0.0,0.251,0.751,-2.457,0.075,125.008
220800,0.663,0.0338,0.861,0.0,0.082,0.654,-3.398,0.109,119.963
215360,0.56,0.0594,0.857,0.0,0.381,0.432,-4.145,0.0384,119.975
170826,0.624,0.0735,0.876,0.0,0.327,0.781,-3.374,0.1,99.943
252880,0.669,0.192,0.939,0.0,0.295,0.53,-3.209,0.161,129.014
224840,0.773,0.0422,0.758,0.0,0.305,0.925,-4.993,0.0381,144.033
235766,0.627,0.13,0.792,3.97e-06,0.0845,0.415,-4.311,0.031,119.054
201287,0.673,0.286,0.735,0.0,0.242,0.754,-4.733,0.0457,115.744
223186,0.64,0.271,0.635,0.0,0.319,0.475,-7.565,0.226,100.034
195105,0.72,0.0276,0.925,0.000238,0.14,0.781,-4.165,0.0511,127.004
199693,0.755,0.0991,0.837,0.0,0.289,0.714,-2.718,0.142,120.028
224653,0.747,0.0208,0.937,0.0,0.29,0.739,-5.746,0.0453,103.976
231013,0.279,0.000185,0.742,0.0,0.593,0.328,-6.46,0.0898,189.868
197935,0.722,0.0319,0.851,0.0,0.108,0.452,-3.873,0.0639,126.885
182866,0.637,0.0177,0.93,0.0,0.452,0.886,-2.632,0.0511,90.014
160097,0.664,0.613,0.573,0.000363,0.0857,0.566,-6.519,0.0277,76.023
214240,0.728,0.0401,0.859,0.0,0.111,0.535,-5.237,0.137,65.043
173026,0.768,0.101,0.864,0.0,0.162,0.891,-6.145,0.0324,110.008
291293,0.709,0.207,0.824,0.000307,0.0888,0.867,-8.824,0.0453,118.818
263173,0.692,0.23,0.786,0.0,0.0797,0.583,-2.959,0.069,100.025
199986,0.726,0.009,0.787,0.0,0.0596,0.888,-2.494,0.0737,124.99
193400,0.783,0.0114,0.58,2.28e-06,0.108,0.66,-6.548,0.0408,120.021
231840,0.758,0.0117,0.557,0.0,0.0418,0.781,-4.568,0.034,126.986
219200,0.647,0.0647,0.8,0.0,0.334,0.942,-5.384,0.165,160.078
199080,0.578,0.00701,0.866,0.0,0.257,0.619,-3.804,0.0619,128.038
202626,0.766,0.00627,0.873,0.0,0.0764,0.743,-6.381,0.143,126.988
